qid,baseline,run,k,overlap_at_k,jaccard_at_k,intersect_size,union_size,baseline_len,run_len
Q001,stable_baseline,baseline_debug_depth2_nodes800,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,baseline_debug_depth2_nodes800,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,baseline_debug_depth2_nodes800,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,baseline_debug_depth2_nodes800,20,1.0,1.0,20,20,24,24
Q005,stable_baseline,baseline_debug_depth2_nodes800,20,1.0,1.0,20,20,24,24
Q006,stable_baseline,baseline_debug_depth2_nodes800,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,baseline_debug_depth2_nodes800,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,baseline_debug_depth2_nodes800,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,baseline_debug_depth2_nodes800,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,baseline_debug_depth2_nodes800,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,baseline_debug_nodes800,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,baseline_debug_nodes800,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,baseline_debug_nodes800,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,baseline_debug_nodes800,20,1.0,1.0,20,20,24,24
Q005,stable_baseline,baseline_debug_nodes800,20,1.0,1.0,20,20,24,24
Q006,stable_baseline,baseline_debug_nodes800,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,baseline_debug_nodes800,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,baseline_debug_nodes800,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,baseline_debug_nodes800,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,baseline_debug_nodes800,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,stable_baseline,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,stable_baseline,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,stable_baseline,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,stable_baseline,20,1.0,1.0,20,20,24,24
Q005,stable_baseline,stable_baseline,20,1.0,1.0,20,20,24,24
Q006,stable_baseline,stable_baseline,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,stable_baseline,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,stable_baseline,20,0.95,1.0,19,19,27,27
